Image,AnimalID,Slide,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num points,Length µm
Aco_ear_922587-1_1.tif - Aco_ear_922587-1_1.tif #1,922587-1,1,abfc0886-71cd-43d8-a1ac-da12e5fc8da6,Adipocytes,Adipocytes,Image,Points,126440.1,900813.2,18,
Aco_ear_922587-1_1.tif - Aco_ear_922587-1_1.tif #1,922587-1,1,f8196d30-f492-40bf-8173-933d21752564,Regenerated Length,Regenerated Length,Image,Polyline,168640.1,868114.4,,437595
1001363-1_48.jpg,1001363-1,48,fd20f50c-8016-4c0a-ad56-a802502ce1fa,Cartilage Length,Cartilage Length,Image,Polyline,228.59,425.2,,14.19
957162-1_13.jpg,957162-1,13,b2bc5c03-8858-4ba5-bf7f-3a7a9176015b,Cartilage Length,Cartilage Length,Image,Polyline,703.61,423.17,,16.3
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,215506b0-afe7-4d9e-9e76-72094d3495c5,Adipocytes,Adipocytes,Image,Points,354326.3,601300,118,
Aco_ear_922587-1_7.tif - Aco_ear_922587-1_7.tif #1,922587-1,7,ddc130a6-f6c5-47e7-89dc-e417f1e54e39,Regenerated Length,Regenerated Length,Image,Polyline,463309.9,530441.1,,849620.5
957162-1_31.jpg,957162-1,31,c132958a-5c06-4cb4-981b-f531c6d42f48,Cartilage Length,Cartilage Length,Image,Polyline,744.49,704.96,,17.88
1001363-1_42.jpg,1001363-1,42,cf0594d5-fc0e-439d-b15d-33a20842a7ec,Cartilage Length,Cartilage Length,Image,Polyline,281.55,362.29,,18.31
1001363-1_63.jpg,1001363-1,63,e2bf2016-7661-47af-8016-a73b0a18288b,Cartilage Length,Cartilage Length,Image,Polyline,320.37,583.32,,18.72
957162-1_22.jpg,957162-1,22,4173db67-1227-40b7-8259-6a30d2bd1f44,Cartilage Length,Cartilage Length,Image,Polyline,834.2,916.78,,19.43
957162-1_16.jpg,957162-1,16,d200f21b-7454-4196-97a5-487c983b02ec,Cartilage Length,Cartilage Length,Image,Polyline,682.4,276.7,,19.59
1001363-2_10.jpg,1001363-2,10,e666f6cb-3a78-49a9-a989-1907d09f2c03,Cartilage Length,Cartilage Length,Image,Line,676.35,1259.3,,21
957162-1_22.jpg,957162-1,22,1c4e9aef-d799-41d5-9d8d-64057782c16e,Cartilage Length,Cartilage Length,Image,Polyline,888.44,1083.5,,24.21
Aco_ear_922587-1_10.tif - Aco_ear_922587-1_10.tif #1,922587-1,10,a43d08e2-eca7-4655-9b5a-b750a33ff9b4,Regenerated Length,Regenerated Length,Image,Polyline,520610.8,447658.4,,875155.6
957162-1_31.jpg,957162-1,31,0287c4c6-a6f6-414c-bd23-48ac5ad3c69f,Cartilage Length,Cartilage Length,Image,Polyline,802.76,620.44,,24.3
1001363-1_42.jpg,1001363-1,42,1cb70c33-c9c4-4bca-8625-37d4ccd0868d,Cartilage Length,Cartilage Length,Image,Polyline,226.78,273.62,,24.65
1001363-2_19.jpg,1001363-2,19,9b2e2ea7-6196-4554-a56e-65da046c8282,Cartilage Length,Cartilage Length,Image,Polyline,741.18,1095.3,,24.85
957162-1_16.jpg,957162-1,16,0c37c0a8-a5c0-49b1-af72-c0c182d2b69d,Cartilage Length,Cartilage Length,Image,Line,791.32,646.94,,26.79
941702-3_4.jpg,941702-3,4,1151b695-43b5-493f-bbb2-38b868706efb,Cartilage Length,Cartilage Length,Image,Polyline,1209.5,611.23,,27.11
927693-1_19.jpg,927693-1,19,3de31159-4b09-43b9-8b51-f688b337ae82,Cartilage Length,Cartilage Length,Image,Polyline,646.8,592.44,,27.36
1001363-1_13.jpg,1001363-1,13,e181954e-f9bb-4e2f-99b8-0ad15f967c64,Cartilage Length,Cartilage Length,Image,Polyline,964.87,890.9,,28.43
Aco_ear_922587-1_10.tif - Aco_ear_922587-1_10.tif #1,922587-1,10,d8a7b24d-d193-48b6-8e29-c97d8898d5aa,Adipocytes,Adipocytes,Image,Points,388895.1,513056.6,98,
Aco_ear_922587-1_13.tif - Aco_ear_922587-1_13.tif #1,922587-1,13,5a4eddf8-3965-44dd-9140-d2bb2c24d2d5,Adipocytes,Adipocytes,Image,Points,318423.8,558472.4,73,
Aco_ear_922587-1_13.tif - Aco_ear_922587-1_13.tif #1,922587-1,13,919fc985-efe6-4830-b1d9-b7be18be2662,Regenerated Length,Regenerated Length,Image,Polyline,504789.9,464004.1,,876627.4
1001363-2_19.jpg,1001363-2,19,7f0c20e8-5316-4721-a47c-9f9f949e3a0f,Cartilage Length,Cartilage Length,Image,Polyline,662.17,1177.4,,28.64
1001363-2_34.jpg,1001363-2,34,f7ee48c5-39a3-474d-aee7-45f2d8043cae,Cartilage Length,Cartilage Length,Image,Polyline,768.27,636.39,,29.07
1001363-2_28.jpg,1001363-2,28,8a5677ca-e56d-498c-ad79-ed14a26b2a51,Cartilage Length,Cartilage Length,Image,Polyline,696.02,883.88,,29.46
941702-3_4.jpg,941702-3,4,9b6e1d9c-b765-4583-a8b1-9a13d3accde7,Cartilage Length,Cartilage Length,Image,Polyline,317.5,204.81,,29.87
957162-1_7.jpg,957162-1,7,c0b8148e-4d4c-4f02-bdf2-4fb8b79ddd21,Cartilage Length,Cartilage Length,Image,Polyline,896.76,1459.4,,30.56
Aco_ear_922587-1_16.tif - Aco_ear_922587-1_16.tif #1,922587-1,16,bd52496d-6647-4854-a467-c6c98eaf9cbc,Regenerated Length,Regenerated Length,Image,Polyline,600242,394083,,818766.3
1001363-2_34.jpg,1001363-2,34,8d784305-4160-4a55-9cc1-763771ed8526,Cartilage Length,Cartilage Length,Image,Polyline,867.28,774.59,,31.6
1001363-2_10.jpg,1001363-2,10,d7af1772-14a4-43b9-9852-b76363281ef0,Cartilage Length,Cartilage Length,Image,Line,686.84,1224.8,,32.17
957162-1_25.jpg,957162-1,25,127db606-4cfa-44f5-9822-2aa790f5a09c,Cartilage Length,Cartilage Length,Image,Line,380.11,519.18,,33.19
957162-1_4.jpg,957162-1,4,df263cc4-6eb0-4786-abd4-b0a8b3031492,Cartilage Length,Cartilage Length,Image,Polyline,960.77,474.69,,34.15
1001363-1_48.jpg,1001363-1,48,3e95a19e-61e7-4de0-ba40-f372b607b1e4,Cartilage Length,Cartilage Length,Image,Polyline,208.42,401.56,,34.21
957162-1_13.jpg,957162-1,13,413ec126-5713-45b2-958f-9a567a0e6edd,Cartilage Length,Cartilage Length,Image,Polyline,704.58,348.77,,34.54
1001363-2_31.jpg,1001363-2,31,0214e46b-800c-4fa1-a754-d87ae8f3531a,Cartilage Length,Cartilage Length,Image,Line,890.01,742.31,,34.61
Aco_ear_922587-1_16.tif - Aco_ear_922587-1_16.tif #1,922587-1,16,d00dc6b8-57fb-4a62-ad1e-4a507958ccc4,Adipocytes,Adipocytes,Image,Points,383875.8,470203,37,
Aco_ear_922587-1_19.tif - Aco_ear_922587-1_19.tif #1,922587-1,19,afaeb461-34e1-408e-a6ea-1c597d3bf9be,Adipocytes,Adipocytes,Image,Points,414673.3,407342.1,7,
Aco_ear_922587-1_19.tif - Aco_ear_922587-1_19.tif #1,922587-1,19,e8412cb0-c8d2-432b-b5c6-04962f1e5d43,Regenerated Length,Regenerated Length,Image,Polyline,679079.1,314037.5,,1001385.5
1001363-1_42.jpg,1001363-1,42,5fbd3ffd-f5bc-4f92-987a-94ed4a63ff24,Cartilage Length,Cartilage Length,Image,Polyline,368.68,482.7,,35.15
941702-3_10.jpg,941702-3,10,b503e04e-7e33-4b82-8b16-29f379118f1b,Cartilage Length,Cartilage Length,Image,Polyline,824.78,577.01,,35.32
1001363-1_20.jpg,1001363-1,20,3fa6156d-0d59-4e3d-bb49-065b01e07831,Cartilage Length,Cartilage Length,Image,Polyline,854.19,249.12,,35.42
1001363-2_19.jpg,1001363-2,19,a34b18c8-3390-4837-b765-bcfe687a556f,Cartilage Length,Cartilage Length,Image,Polyline,724.13,1137.9,,37.12
